FEN,Response Move
1B1k4/2p3pp/1p3p2/5n2/2P5/8/PP3PPP/6K1 b - - 1 22,d8c8
1B4k1/6p1/2B2p1p/p2Kb3/2P5/1P6/8/R2Q4 b - - 0 43,e5b8
1B6/8/8/6k1/6P1/6K1/8/8 b - - 0 52,g5g6
1B6/8/8/6kp/6P1/6KP/8/8 b - - 1 51,h5g4
1Br1k2r/1p1nppbp/5np1/p7/2PP4/2P2B2/P4PPP/1R1Q1RK1 b k - 4 15,c8b8
1K4k1/p4p2/8/8/2q5/8/8/6q1 b - - 1 53,g1b6
1K6/3r4/2q5/8/4p3/4k3/8/8 b - - 13 68,d7b7
1K6/7p/2k3p1/5p2/4p3/4P3/5PPP/8 b - - 1 40,c6c5
1K6/8/8/1k6/8/8/8/2q5 b - - 11 76,b5b6
1Q1r4/8/5p1p/3q2pk/5p2/5P1P/6P1/6RK w - - 4 53,b8b1
1Q2R3/5kp1/7p/8/5P2/4P3/p7/Kr6 w - - 1 44,a1a2
1Q2k1r1/5p2/4b1p1/8/8/6P1/1P1r1BKP/8 b - - 3 33,e8d7
1Q2k3/4bp2/4n2p/5p2/r3P3/1P1P2P1/P1P4P/1K1R3R b - - 0 32,e6d8
1Q2kb1r/p2pnpp1/4p2p/1Nr4q/2P5/P4P2/2P2P1P/R1B2RK1 b k - 3 16,e7c8
1Q6/2K1kp2/6p1/8/8/8/7p/8 b - - 0 55,h2h1q
1Q6/4Np1k/p3p2p/6p1/3r4/6PK/P1q5/8 b - - 1 43,g5g4
1Q6/4Np1k/p3p2p/8/3r2pK/6P1/P1q5/8 b - - 1 44,c2h2
1Q6/8/Q7/p7/K7/1B6/8/k7 b - - 0 60,a1b2
1Q6/pp4pk/4q2p/8/2r5/4P3/P1P2PPP/4K1NR w K - 2 21,g1f3
1Q6/pp4pk/4q2p/8/8/4PN2/P1r2PPP/4K2R w K - 0 22,e1g1
1Q6/pp4pk/4q2p/8/8/4PN2/r4PPP/5RK1 w - - 0 23,b8b7
1QR5/3K4/8/3k4/8/8/P7/8 b - - 0 55,d5d4
1Qn1kb1r/p1Np1pp1/4p2p/2r4q/2P5/P4P2/2P2P1P/R1B2RK1 b k - 5 17,e8d8
1Qnk1b1r/p1Np1p2/4p2p/2r3p1/2P5/P4qB1/2P2P1P/1R3RK1 b - - 1 20,f3c6
1Qnk1b1r/p1Np1p2/4p2p/2r3pq/2P5/P4PB1/2P2P1P/R4RK1 b - - 1 19,h5f3
1Qnk1b1r/p1Np1pp1/4p2p/2r4q/2P2B2/P4P2/2P2P1P/R4RK1 b - - 7 18,g7g5
1Qnk1b1r/pRNp1p2/2q1p2p/2r3p1/2P5/P5B1/2P2P1P/5RK1 b - - 3 21,f8d6
1Qnk3r/2Rp1p2/3qp2p/6p1/2P5/P7/2P2P1P/5RK1 b - - 0 24,d6c7
1Qnk3r/R1Np1p2/3qp2p/2r3p1/2P5/P7/2P2P1P/5RK1 b - - 0 23,c5c7
1Qnk3r/pRNp1p2/2qBp2p/2r3p1/2P5/P7/2P2P1P/5RK1 b - - 0 22,c6d6
1R1R4/5k2/8/5P2/4B3/4K3/8/8 b - - 0 75,f7f6
1R1R4/8/4k3/8/4BP2/4K3/8/8 b - - 0 74,e6f7
1R1R4/8/8/2k5/3NB3/5P2/3K4/8 b - - 2 70,c5c4
1R1R4/8/8/4k3/4B3/4KP2/8/8 b - - 3 73,e5e6
1R1R4/8/8/8/3kB3/5P2/3K4/8 b - - 1 72,d4e5
